Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,70.132706,74.691650,70.132706,74.504295,73.455658,13998416
2020-01-03,72.256050,74.941452,72.006248,74.754097,73.701935,13752464
2020-01-06,73.942230,76.252930,73.942230,75.815765,74.748672,17925786
2020-01-07,75.878220,76.440285,74.441841,75.253708,74.194511,11301510
2020-01-08,74.878998,75.253708,74.129585,74.566742,73.517227,8871325
2020-01-09,75.378609,75.503510,73.879784,74.379395,73.332497,6305258
2020-01-10,73.942230,74.379395,72.380951,72.880562,71.854782,9391652
2020-01-13,73.317719,75.878220,72.943016,75.690865,74.625519,10594110
2020-01-14,75.940674,76.128021,74.878998,75.128807,74.071358,7210429
2020-01-15,75.066353,75.066353,73.879784,74.129585,73.086220,7373916
2020-01-16,74.566742,74.816551,73.817329,73.942230,72.901489,5872360
2020-01-17,74.004684,74.504295,73.442619,73.754883,72.716789,7458735
2020-01-21,73.317719,73.692429,72.505852,72.818108,71.793198,7003579
2020-01-22,73.130363,73.130363,70.882126,71.007027,70.007614,9919391
2020-01-23,73.255272,74.004684,72.443405,73.505074,72.470497,11715209
2020-01-24,74.192039,74.254486,72.568306,73.130363,72.101044,9507550
2020-01-27,71.506638,72.380951,71.069473,71.444183,70.438599,7663999
2020-01-28,71.943794,73.817329,71.631538,73.255272,72.224190,10076442
2020-01-29,78.501167,81.186569,78.001564,80.811867,79.674438,35337874
2020-01-30,80.499611,81.124123,78.064011,79.500389,78.381424,15287022
2020-01-31,79.188133,79.562843,77.064796,77.751755,76.657402,12487188
2020-02-03,77.814209,79.188133,76.502731,76.565186,75.487541,8065256
2020-02-04,78.001564,78.813431,77.377052,78.563622,77.457832,7107180
2020-02-05,79.687744,80.312256,78.501167,80.312256,79.181877,8018083
2020-02-06,80.811867,81.186569,80.124901,80.874313,79.736015,10186176
2020-02-07,81.311478,81.748634,80.000000,80.124901,78.997147,10670186
2020-02-10,80.187355,80.999222,79.750198,80.624512,79.489723,5363467
2020-02-11,80.874313,81.061668,79.812645,80.249802,79.120285,6546278
2020-02-12,80.874313,82.810303,80.437157,82.185791,81.029022,10522278
2020-02-13,81.686180,82.185791,80.562057,80.811867,79.674438,8168345
2020-02-14,80.999222,81.623734,79.625290,80.124901,78.997147,5919357
2020-02-18,79.375488,80.874313,79.125687,79.625290,78.504562,7039655
2020-02-19,79.313034,80.811867,78.626076,78.750977,77.642555,8787388
2020-02-20,79.000778,79.188133,77.501953,78.251366,77.149986,6334849
2020-02-21,77.751755,77.814209,76.315376,76.502731,75.425980,6872757
2020-02-24,73.005463,75.316162,72.443405,74.067139,73.024658,11365352
